Citable Reference,Context Description,Title,Description,Start Date,Start Date (num),End Date,End Date (num),Covering Dates,Held by,Catalogue level,References,Opening Date,Closure Status,Closure Type,Closure Code,Subjects,Digitised,ID,Score
WO171/5255,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",1 Rifle Brigade (Prince Consort's Own),1 Rifle Brigade (Prince Consort's Own).,01/01/1945,19450101,31/12/1945,19451231,1945 Jan.-Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445362,114.559036
WO171/5256,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",2 Rifle Brigade (Prince Consort's Own),2 Rifle Brigade (Prince Consort's Own).,01/11/1945,19451101,30/11/1945,19451130,"1945 Nov., Dec.","The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445363,114.140862
WO171/5257,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",8 Rifle Brigade (Prince Consort's Own),8 Rifle Brigade (Prince Consort's Own).,01/01/1945,19450101,31/12/1945,19451231,1945 Jan.-Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445364,114.140862
WO171/8808,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. BRIGADES. 131 Lorried Infantry Brigade.",5 Guards Brigade: Headquarters,5 Guards Brigade: Headquarters.,01/01/1946,19460101,30/06/1946,19460630,1946 Jan-June,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4448914,110.587791
WO171/1358,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",1 Rifle Brigade (Prince Consort's Own),1 Rifle Brigade (Prince Consort's Own).,01/01/1944,19440101,31/12/1944,19441231,1944 Jan.- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441467,105.908524
WO171/8883,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. BRIGADES. Anti-Aircraft Brigades.",105 Anti-Aircraft Brigade (A.A. Bde.),105 Anti-Aircraft Brigade (A.A. Bde.).,01/01/1946,19460101,30/04/1946,19460430,1946 Jan-Apr,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4448989,105.435631
WO171/5295,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY REGIMENTS.",Hallamshire Battalion (York and Lancaster Regiment),Hallamshire Battalion (York and Lancaster Regiment).,01/01/1945,19450101,31/12/1945,19451231,1945 Jan.-Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4445402,104.761864
WO171/1304,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",Hallamshire Battalion (York and Lancaster Regiment),Hallamshire Battalion (York and Lancaster Regiment).,01/01/1944,19440101,31/12/1944,19441231,"1944 Jan.- Apr., June- Dec.","The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441413,101.670486
WO171/1360,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",8 Rifle Brigade (Prince Consort's Own) Light Aid Detachment,8 Rifle Brigade (Prince Consort's Own) Light Aid Detachment.,01/01/1944,19440101,31/05/1944,19440531,1944 Jan.- May,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441469,100.35437
WO171/1359,"War Office: Allied Expeditionary Force, North West Europe (British Element): War Diaries, Second World War. INFANTRY.",8 Rifle Brigade (Prince Consort's Own) and diary for `G' Company,8 Rifle Brigade (Prince Consort's Own) and diary for `G' Company.,01/06/1944,19440601,31/12/1944,19441231,1944 June- Dec.,"The National Archives, Kew",6,,10/01/1996,"Open Document, Open Description",Closed Until,1996,"C10131 Europe and Russia;
        C10019 Conflict;
        C10065 Armed Forces (General Administration);
        C10075 Operations, battles and campaigns;
        C10028 Diaries;
        C10092 Army",,C4441468,97.47817
